Age,Sex,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Impulsivness,Sensation Seeing,Alcohol,Amphetamines,Amyl Nitrite,Benzodiazepine,Caffeine,Canabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal Highs,LSD,Methadone,Mushrooms,Nicotine,Semer,VSA
35-44,Male,Doctorate degree,UK,White,Low,High,Average,Average,High,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Female,Professional certificate/ diploma,UK,White,Average,Average,Average,Average,Average,Low,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Female,Masters degree,UK,White,Average,High,Average,Average,Average,Low,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
55+,Female,Professional certificate/ diploma,UK,White,Low,Average,Average,Average,High,Low,Low,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55+,Female,Professional certificate/ diploma,UK,White,Average,Average,Average,Average,Average,Average,Average,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
18-24,Female,Left school before 18 years,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Month,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Never Used,Never Used
35-44,Female,Masters degree,UK,White,Low,Average,High,High,High,Average,Average,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
35-44,Female,University degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
45-54,Female,University degree,UK,White,Average,High,High,High,Average,High,High,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Male,Masters degree,UK,White,Average,Average,Average,Average,Average,Low,Low,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used,Never Used
45-54,Male,Professional certificate/ diploma,UK,Black,Average,Average,Average,Average,Average,Average,Low,Used in Last Day,Never Used,Never Used,Used in Last Month,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Male,University degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
35-44,Female,"Some college or university, no certificate or degree",UK,White,High,Average,Average,High,Average,Average,Average,Used in Last Month,Used in Last Decade,Used over a Decade Ago,Used in Last Month,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
35-44,Male,Professional certificate/ diploma,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Used in Last Month,Used in Last Week,Used in Last Month,Used in Last Month,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Never Used,Used over a Decade Ago,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Week
45-54,Male,University degree,UK,White,Average,Average,Average,Average,Low,Average,Average,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago
25-34,Male,Left school before 18 years,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Week,Used in Last Decade,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Never Used
35-44,Male,Professional certificate/ diploma,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Year,Never Used,Never Used
25-34,Male,Left school before 18 years,UK,White,Average,Average,High,High,Average,High,High,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used over a Decade Ago,Used in Last Year,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
45-54,Male,University degree,UK,White,Low,Average,Low,High,Average,Average,Average,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
35-44,Male,Left school before 18 years,UK,White,High,Low,Average,Low,Low,High,High,Used in Last Year,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Used in Last Week,Used in Last Year,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Used in Last Year,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
35-44,Male,"Some college or university, no certificate or degree",UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used over a Decade Ago
25-34,Female,"Some college or university, no certificate or degree",UK,White,Average,High,Average,Average,Average,High,High,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Year,Never Used,Used in Last Decade
45-54,Female,University degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
35-44,Female,Professional certificate/ diploma,UK,White,Average,Average,High,Average,High,Average,Average,Used in Last Week,Used in Last Week,Used in Last Decade,Used in Last Month,Used in Last Day,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Decade,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Decade
45-54,Male,University degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
45-54,Female,Professional certificate/ diploma,UK,White,High,Average,Low,Average,Average,Low,Low,Used in Last Week,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Female,Doctorate degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used over a Decade Ago,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Male,Professional certificate/ diploma,UK,Asian,Average,Average,Average,Average,Low,Low,Low,Used in Last Week,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
35-44,Female,University degree,UK,Asian,Low,Average,Average,Average,Average,Low,Low,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Female,University degree,UK,White,Low,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
25-34,Male,Professional certificate/ diploma,UK,White,Average,Average,Low,Average,Average,Average,Average,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
25-34,Female,University degree,UK,White,High,Average,Average,Average,Average,Average,Average,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Decade
18-24,Male,Left school at 18 years,Canada,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used in Last Decade,Never Used,Never Used,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
35-44,Female,University degree,UK,White,High,High,High,Low,Average,High,High,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
18-24,Female,"Some college or university, no certificate or degree",UK,White,Average,Average,Low,Average,Average,Average,Average,Used in Last Week,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Month,Used in Last Year,Used in Last Week,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used in Last Year,Used in Last Year,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Week,Never Used,Never Used
45-54,Male,University degree,UK,White,Average,Low,Average,Average,Average,Average,Average,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Year,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Decade,Never Used,Never Used,Never Used
